depth,l2_leaf_reg,feature,importance
3,30,x02,0.7362488367072527
3,30,x03,3.173967718577806
3,30,x04,0.10942836041349706
3,30,x05,15.943606164154167
3,30,x06,5.311807737847347
3,30,x07,1.5245531550786282
3,30,x08,0.5310691380339065
3,30,x09,4.567655387226827
3,30,x10,1.937487760789921
3,30,x11,1.10433912557454
3,30,x12,2.834705672876306
3,30,x13,0.8637641347446163
3,30,x14,0.6620267409076616
3,30,x15,0.5752520095827995
3,30,x16,0.7422950986058882
3,30,x17,4.347957787621613
3,30,x18,9.688600763882382
3,30,x19,4.84331329781048
3,30,x20,0.8913928022740433
3,30,x21,3.396835148245368
3,30,x22,2.1035563213618476
3,30,x23,0.48631995587436455
3,30,x24,2.6686361676963184
3,30,x25,2.3715537163394376
3,30,x26,0.2549117579103389
3,30,x27,3.315768647553274
3,30,x28,4.180817448630186
3,30,x29,1.2690712846540113
3,30,x30,0.7881461756977985
3,30,x31,3.6485677661324383
3,30,x32,3.006510799773759
3,30,x33,1.6540895016336619
3,30,x34,0.8861460030388686
3,30,x35,1.340495588088377
3,30,x36,1.8047525395259647
3,30,x37,1.1251744191977238
3,30,x38,1.6545104483492152
3,30,x39,0.47832651089037576
3,100,x00,3.0583101495370166
3,100,x01,1.6865352111251215
3,100,x02,2.0799331161214627
3,100,x03,2.1656110093022156
3,100,x04,0.18996266848682422
3,100,x05,16.370640695537205
3,100,x06,3.273852042813394
3,100,x07,1.837461273467538
3,100,x08,0.7759556039119869
3,100,x09,5.682934060095925
3,100,x10,2.2055955417430058
3,100,x11,1.9065890669542458
3,100,x12,1.1959699549983343
3,100,x13,3.5728278627744006
3,100,x14,0.5828818481300561
3,100,x15,1.6973356912653794
3,100,x16,1.5178086682145318
3,100,x17,2.111540267869556
3,100,x18,9.850156379581916
3,100,x19,3.4890295576427026
3,100,x20,0.3225492560887261
3,100,x21,1.884239585928071
3,100,x22,1.7911445571080074
3,100,x23,1.6300709543139897
3,100,x24,1.5529117819471243
3,100,x25,1.993525953663687
3,100,x26,0.8018416211306226
3,100,x27,3.4777293327905987
3,100,x28,1.733877347954784
3,100,x29,1.0947861876283436
3,100,x30,2.390343844585089
3,100,x31,3.2394481226735095
3,100,x32,2.9505495349895927
3,100,x33,1.5850257304143338
3,100,x34,0.7282725390386817
3,100,x35,2.679177026999783
3,100,x36,1.4667506997629296
3,100,x37,0.9923790259239176
3,100,x38,2.076060794098214
3,100,x39,0.35838543338714807
4,1,x00,3.3549936152386426
4,1,x01,2.1542157998234743
4,1,x02,1.696319060824149
4,1,x03,4.328505705348039
4,1,x04,2.1360480462611413
