model,repeat,p_pos,roc_auc,average_precision,study
auc_model,4,0.35,0.7437778098644061,0.6181283603518356,imbalance
ap_model,4,0.35,0.7428522675829492,0.6131158653937164,imbalance
auc_model,5,0.35,0.7290955092606637,0.5815195280814507,imbalance
ap_model,5,0.35,0.7279851538693283,0.5745631799880077,imbalance
auc_model,6,0.35,0.7367837060095046,0.583731873255394,imbalance
ap_model,6,0.35,0.7368206149384164,0.5803831420429891,imbalance
auc_model,7,0.35,0.7312987007315209,0.5844394398374525,imbalance
ap_model,7,0.35,0.7314573206681951,0.5801563165673067,imbalance
auc_model,8,0.35,0.7335988003392115,0.5831089571161241,imbalance
ap_model,8,0.35,0.7331861180273196,0.5780470874897066,imbalance
auc_model,9,0.35,0.735867956043956,0.5939730846175582,imbalance
ap_model,9,0.35,0.7349897142857142,0.5852590921033743,imbalance
auc_model,10,0.35,0.7314056481900235,0.5927505924075352,imbalance
ap_model,10,0.35,0.7296296087245183,0.5891471643702153,imbalance
auc_model,11,0.35,0.7336158899424616,0.5867869268864252,imbalance
ap_model,11,0.35,0.7331782682745759,0.5832430250346573,imbalance
auc_model,12,0.35,0.7482553371870049,0.6233677331666625,imbalance
ap_model,12,0.35,0.7476993657537554,0.6206256212811692,imbalance
auc_model,13,0.35,0.7461802101583912,0.5995178610809941,imbalance
ap_model,13,0.35,0.745882316596864,0.5950019612884216,imbalance
auc_model,14,0.35,0.7460561702587152,0.5987950830132674,imbalance
ap_model,14,0.35,0.7457489222788708,0.5932018149269529,imbalance
auc_model,15,0.35,0.7423904487829583,0.5923243691282073,imbalance
ap_model,15,0.35,0.7401376149650036,0.5843737013800827,imbalance
auc_model,16,0.35,0.7234210695004848,0.5828977793772518,imbalance
ap_model,16,0.35,0.7222671482992583,0.5768086130294632,imbalance
auc_model,17,0.35,0.7389978080642025,0.5914861700974541,imbalance
ap_model,17,0.35,0.7390348411730392,0.5856364494479784,imbalance
auc_model,18,0.35,0.7309844607620999,0.5712694956421421,imbalance
ap_model,18,0.35,0.7306448576118713,0.5720382395294965,imbalance
auc_model,19,0.35,0.7491584617340666,0.6088100845904765,imbalance
ap_model,19,0.35,0.7485193397491784,0.6050911048274745,imbalance
auc_model,20,0.35,0.7323701650410648,0.5758233317377437,imbalance
ap_model,20,0.35,0.7316607922281214,0.5715494870640381,imbalance
auc_model,21,0.35,0.7293711180124224,0.5917261586425513,imbalance
ap_model,21,0.35,0.7292301451601648,0.5865091002424581,imbalance
auc_model,22,0.35,0.7276837622251124,0.5855708787406573,imbalance
ap_model,22,0.35,0.7262427927661319,0.5812744161806466,imbalance
auc_model,23,0.35,0.7317709515031197,0.5763338842934779,imbalance
ap_model,23,0.35,0.7318609082529779,0.5776390255588653,imbalance
auc_model,24,0.35,0.7462761381729078,0.622631774359914,imbalance
ap_model,24,0.35,0.7441318456626775,0.6217197529012701,imbalance
auc_model,25,0.35,0.7417860422920121,0.6067120965974115,imbalance
ap_model,25,0.35,0.7418709189216433,0.6031726598492957,imbalance
auc_model,26,0.35,0.7332338254937292,0.5779679797081727,imbalance
ap_model,26,0.35,0.732061387249321,0.5756539853161665,imbalance
auc_model,27,0.35,0.7324328226596242,0.5895052798758924,imbalance
ap_model,27,0.35,0.7317301477576668,0.5862114244962577,imbalance
auc_model,28,0.35,0.7333062033490432,0.5973598903445209,imbalance
ap_model,28,0.35,0.7322337523676316,0.5911057951348785,imbalance
auc_model,29,0.35,0.7413834515072988,0.6098505597766299,imbalance
ap_model,29,0.35,0.7404219128771841,0.6053864663672105,imbalance
auc_model,30,0.35,0.735021056389814,0.5763929049045687,imbalance
ap_model,30,0.35,0.7352064044360025,0.572649972933723,imbalance
auc_model,31,0.35,0.7530785107888096,0.614285635709437,imbalance
ap_model,31,0.35,0.7521798815008213,0.611181439063082,imbalance
auc_model,32,0.35,0.7277012753880371,0.5923368863525946,imbalance
ap_model,32,0.35,0.726406565646528,0.5904665586369735,imbalance
auc_model,33,0.35,0.7372680032809745,0.6017053079903145,imbalance
ap_model,33,0.35,0.7357589508012887,0.5981265365425013,imbalance
auc_model,34,0.35,0.7344054185451299,0.5859572424606225,imbalance
ap_model,34,0.35,0.7342202946385727,0.5829133291992691,imbalance
auc_model,35,0.35,0.7459676496563341,0.5919818683953992,imbalance
ap_model,35,0.35,0.7446987808299627,0.5898118341272737,imbalance
auc_model,36,0.35,0.7380125153562653,0.6043234494157054,imbalance
ap_model,36,0.35,0.7373471945934675,0.5961936107597648,imbalance
auc_model,37,0.35,0.7439289068467067,0.6120988223273001,imbalance
ap_model,37,0.35,0.7434995068786807,0.6074267504519656,imbalance
auc_model,38,0.35,0.7304391208791208,0.5878445878150669,imbalance
ap_model,38,0.35,0.730306989010989,0.5837790943885907,imbalance
auc_model,39,0.35,0.7341162283059021,0.5975119835600543,imbalance
ap_model,39,0.35,0.7335778057864042,0.5902177660623547,imbalance
auc_model,0,0.5,0.7333059020644497,0.7186323615025421,imbalance
ap_model,0,0.5,0.7300262306508347,0.7224559027172444,imbalance
